Customer_ID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Total_Spending,Website_Visits,Customer_Visits
1305,58,44917,65,24,86442,48,20
1306,53,116731,40,25,54847,21,13
1307,50,41566,76,4,63653,59,17
1308,21,95452,56,6,91072,56,22
1309,50,82823,36,9,61622,22,4
1310,31,141392,45,22,32810,36,1
1311,38,40806,23,14,82842,34,1
1312,65,95520,47,28,15503,30,15
1313,37,21759,31,12,89761,25,13
1314,25,146092,11,28,41976,45,17
1315,24,61949,10,25,16590,28,24
1316,20,112374,67,20,15886,1,26
1317,34,22482,14,24,17866,49,8
1318,50,44442,80,25,71624,45,18
1319,65,53719,74,4,73899,4,27
1320,29,78066,93,21,37792,7,13
1321,39,113501,10,30,14764,49,23
1322,39,22079,76,24,91156,9,14
1323,63,22717,94,12,47727,36,8
1324,47,79676,1,10,83471,19,8
1325,55,47952,5,30,13068,1,27
1326,55,106444,20,22,12295,10,26
1327,62,62460,8,28,46160,36,15
1328,25,110397,43,7,16390,9,27
1329,44,92847,76,3,111752,45,13
1330,44,113607,1,23,25131,46,7
1331,51,109106,57,28,99754,42,5
1332,38,38449,64,14,80969,32,17
1333,47,53536,84,24,20038,32,28
1334,50,84077,28,10,57327,6,25
1335,45,58258,37,16,98718,48,29
1336,64,68302,47,16,82064,38,16
1337,50,145937,76,22,26281,17,23
1338,22,48865,37,10,59189,10,2
1339,65,26645,49,25,53511,50,22
1340,36,139771,44,13,13605,27,18
1341,21,,56,6,105318,54,17
1342,52,46737,28,12,6381,50,30
1343,34,31485,79,9,71634,35,7
1344,61,58565,6,13,24810,52,13
1345,45,45522,61,4,29322,59,18
1346,47,139614,20,24,46869,21,29
1347,46,85155,78,11,37955,25,14
1348,63,75168,2,20,66388,28,30
1349,23,72487,73,18,115252,47,18
1350,52,149948,37,26,15207,15,13
1351,58,32342,20,11,92329,4,11
1352,54,60806,26,25,72628,29,21
1353,41,68770,29,21,33220,59,30
1354,46,98623,1,4,89050,9,21
1355,63,123177,35,18,108546,27,16
1356,48,119785,70,1,79085,26,23
1357,52,95629,59,27,27031,19,17
1358,50,140993,69,7,75721,56,8
1359,38,72603,33,6,85807,28,19
1360,49,146944,51,15,76312,17,20
1361,40,132726,78,18,64766,43,15
1362,50,101974,12,24,17449,57,9
1363,20,125947,20,11,94833,41,20
1364,35,46399,53,20,61699,42,10
1365,42,148177,88,24,111127,50,12
1366,59,105382,43,15,86253,20,21
1367,48,101244,98,16,110659,45,23
1368,20,129575,89,7,109769,40,20
1369,57,135520,50,21,116041,39,30
1370,63,130904,29,10,51092,49,1
1371,41,96534,57,26,68671,53,25
1372,49,75106,39,12,15350,23,20
1373,64,132599,95,24,101158,47,9
1374,39,50678,56,14,105859,32,22
1375,40,96218,43,25,73487,52,15
1376,19,83230,50,5,22622,47,1
1377,44,134684,23,26,75263,33,12
1378,59,94055,44,21,58117,57,3
1379,19,76373,38,18,108990,46,11
1380,43,51480,84,5,63394,5,2
1381,34,105230,23,3,107005,43,16
1382,57,88836,45,23,106084,48,9
1383,50,92258,52,26,28782,34,15
1384,26,59986,80,5,33454,40,12
1385,60,44160,50,24,72904,11,1
1386,65,105595,8,17,20592,50,13
1387,56,121358,85,19,27173,3,14
1388,46,99111,1,19,38204,58,25
1389,59,84929,8,25,40596,33,25
1390,43,93506,29,21,39324,11,8
1391,52,54911,96,12,116668,16,8
1392,42,107127,5,25,66202,18,27
1393,41,51821,86,29,94400,30,30
1394,30,95039,47,9,118365,48,12
1395,24,80535,34,1,35750,55,1
1396,53,133453,65,18,81112,10,11
1397,62,104458,55,21,21566,18,8
1398,37,32175,90,4,12190,38,10
1399,18,139235,43,10,93607,19,30
1400,25,74771,74,25,43333,36,19
1401,63,126660,30,7,85905,59,11
1402,33,147157,82,22,94571,13,7
1403,31,141300,17,23,6589,56,11
1404,29,106925,26,1,30235,46,17
1405,40,133374,8,17,5159,3,1
1406,32,86358,47,24,17145,10,26
1407,45,37327,76,29,85909,38,29
1408,51,67057,91,29,36921,1,21
1409,19,26150,72,2,109859,55,21
1410,49,24425,89,28,21237,56,8
1411,40,143654,46,26,112507,27,23
1412,39,36032,68,11,13244,46,24
1413,42,22198,33,9,19743,8,6
1414,39,80500,1,7,102102,51,22
1415,39,73394,19,22,51101,46,18
1416,59,40079,31,17,116645,42,6
1417,23,56220,80,17,89227,17,5
1418,32,61874,14,2,104532,9,13
1419,60,33859,53,6,61378,6,19
1420,54,70460,48,14,76126,43,22
1421,50,51419,69,6,61071,25,8
1422,25,138865,90,2,76121,39,9
1423,61,28705,62,1,79763,49,17
1424,61,62880,92,10,98814,60,3
1425,22,149838,66,21,109350,28,19
1426,56,43236,64,5,17237,33,11
1427,21,107955,70,2,20649,54,24
1428,23,105514,63,22,42713,37,17
1429,62,123145,73,16,78463,9,21
1430,49,35358,33,25,50409,18,19
1431,47,119713,41,2,53766,56,2
1432,64,114914,89,10,51154,59,8
1433,52,122870,48,2,12016,21,19
1434,57,96918,13,16,84563,2,7
1435,33,139179,73,16,53688,58,28
1436,30,136243,77,19,94678,43,27
1437,59,34596,31,29,117056,59,17
1438,47,53572,75,7,59238,60,6
1439,36,98757,68,22,63608,38,19
1440,34,21279,98,12,94081,58,24
1441,36,83197,4,24,36897,40,6
1442,45,131496,19,15,55961,36,28
1443,43,82516,70,8,73703,50,2
1444,54,27083,98,6,49757,60,6
1445,43,140674,82,28,31917,43,23
1446,40,140307,13,27,27736,37,5
1447,26,146457,23,10,32990,15,19
1448,29,129397,83,3,67551,28,20
1449,18,37771,75,19,63161,18,4
1450,18,49975,1,17,84623,34,22
1451,64,65648,88,7,27440,22,26
1452,51,145641,54,21,40205,11,17
1453,49,68285,71,20,85811,58,11
1454,65,39063,89,26,60103,57,4
1455,42,87642,85,4,75812,13,26
1456,57,110093,15,14,46627,4,13
1457,62,134390,65,20,111122,22,20
1458,18,106143,76,22,108032,7,26
1459,33,57599,71,15,24008,43,17
1460,56,71920,15,24,76274,54,9
1461,22,48529,21,8,37402,24,4
1462,39,55954,19,21,58384,4,23
1463,46,47856,60,15,10793,28,28
1464,20,22573,93,22,107827,15,14
1465,29,98344,89,20,10571,1,19
1466,43,55367,33,28,101867,55,26
1467,33,122337,49,14,21209,3,28
1468,54,126732,96,27,118550,14,3
1469,39,119608,35,29,95930,38,14
1470,46,80774,44,9,48148,50,8
1471,31,43752,90,8,96218,57,24
1472,45,75029,11,26,7224,1,27
1473,22,37685,99,28,111693,38,28
1474,64,71693,72,26,53695,38,1
1475,47,136739,78,17,114988,21,10
1476,63,75961,74,2,113944,48,18
1477,22,126937,66,25,37441,29,16
1478,29,144956,46,24,111966,5,8
1479,33,96908,9,30,44129,49,1
1480,43,145537,3,3,105252,10,12
1481,43,146678,85,8,67368,28,8
1482,65,94532,26,12,115395,21,24
1483,38,101994,72,1,97122,50,16
1484,56,76133,48,10,49760,7,18
1485,53,117425,66,20,28478,3,4
1486,50,145055,70,3,76854,45,6
1487,47,81268,28,6,99230,47,12
1488,54,112201,93,7,90716,20,27
1489,40,58243,26,20,17180,19,9
1490,27,77384,25,23,103538,35,15
1491,22,51653,12,25,20372,4,16
1492,53,46657,5,27,34796,5,24
1493,51,59952,98,18,63272,1,12
1494,48,42180,48,11,94963,4,24
1495,27,117432,37,19,103826,12,23
1496,36,141829,79,5,98635,60,14
1497,49,148377,44,19,116022,27,13
1498,18,98411,100,11,59040,56,25
1499,22,21622,15,24,80357,42,2
